Gesture Name,Gesture Number,Sample Number,Acceleration_x,Acceleration_y,Acceleration_z,Rotation_i,Rotation_j,Rotation_k,Rotation_real
zero,0,1,6.878906,-6.820312,-7.261719,1.0,0.0,-2.775557561562892e-17,0.0
zero,0,1,5.609375,-7.878906,-8.140625,0.9996958460294086,0.0230214620843143,0.0033772638647703,-0.0081744604612992
zero,0,1,4.105469,-9.019531,-9.320312,0.9987912694976572,0.0459728166699657,0.0079725083808062,-0.0154576587103577
zero,0,1,1.410156,-10.328125,-12.101562,0.9970480878060544,0.0720742166237338,0.0138536195485058,-0.0225498364909998
zero,0,1,0.351562,-10.816406,-13.828125,0.9946885103905596,0.0970422640286058,0.0195922232420483,-0.0281728784054081
zero,0,1,-0.507812,-11.367188,-15.273438,0.9914844302596442,0.1235371380162469,0.0253378510972541,-0.0324837403209178
zero,0,1,-1.996094,-12.183594,-17.542969,0.9875550228438724,0.1502988714886755,0.0302834371033555,-0.0350462483338333
zero,0,1,-1.996094,-12.183594,-17.542969,0.9827455805181644,0.1782133172302269,0.0345839739564321,-0.0354271968859391
zero,0,1,-2.839844,-12.59375,-18.148438,0.977570694639104,0.2044318628010953,0.0380129286162014,-0.0334390148257016
zero,0,1,-4.765625,-11.929688,-18.144531,0.9579986484921892,0.2820501610386795,0.0507526259900021,-0.0105103330257707
zero,0,1,-5.835938,-11.492188,-18.269531,0.9506500438107222,0.3051336771261672,0.0560998144407651,0.0032778202890909
zero,0,1,-7.355469,-10.632812,-18.730469,0.9427066614941734,0.3270745670332357,0.0621074717254024,0.0216573297155909
zero,0,1,-11.183594,-8.554688,-18.378906,0.935344832507258,0.3446712122933564,0.0676340048506704,0.0419218452129355
zero,0,1,-12.429688,-8.898438,-17.410156,0.9185201813280692,0.3749887611951434,0.0799315618663248,0.0965145112819421
zero,0,1,-15.84375,-12.136719,-13.476562,0.9097365446982704,0.3858122970080146,0.0865769753365976,0.1266203698439466
zero,0,1,-17.851562,-12.472656,-10.726562,0.8797681751994921,0.4039828035436136,0.1144663994844931,0.2229423596723022
zero,0,1,-18.699219,-12.101562,-8.851562,0.8691234933941057,0.4058538297109065,0.1270833117232375,0.2525011960781
zero,0,1,-20.109375,-11.324219,-5.550781,0.8583940586136392,0.4060835854970321,0.140992738890815,0.2799585849848961
zero,0,1,-19.875,-9.46875,-1.675781,0.8475938221547032,0.4045123751731809,0.1562470303536046,0.3058452492398938
zero,0,1,-19.636719,-8.484375,1.011719,0.8377577853633139,0.401022633375658,0.1715955090489475,0.3284778864061334
zero,0,1,-20.300781,-6.75,5.800781,0.8278666280059742,0.3946961738872196,0.18853539087786,0.3511498012805076
zero,0,1,-20.582031,-5.949219,7.789062,0.8191126341144213,0.3860035612720271,0.2049091805976569,0.3715749870836889
zero,0,1,-20.582031,-5.949219,7.789062,0.8114813885002414,0.3749544614298958,0.2204635332921253,0.3902600907854772
zero,0,1,-17.566406,-5.425781,15.140625,0.795687026482947,0.3287869004190786,0.2608182848953727,0.4367552544203413
